Customer,"Sold Tons","Quoted Tons (From 'Jobs Quoted')","Quoted Tons (From 'Quoted Vs. Sold')"
"HERRICK CORPORATION",-0.1,4445.89009789,8930.84
"SUNSTEEL LLC",-0.1,4424.41749336,5864.02
"NORTH STAR INDUSTRIES, INC.",179.128459739,4366.444299542,10753.89
"PROSTEEL INC.",248.07254949,5602.748694461,10123.07
"STEEL ENCOUNTERS - NW",1104.80024318,10412.027255284,21301.76
"PANELIZED STRUCTURES-NEVADA",2142.9113767,5520.35410101,12873.58
"PANELIZED STRUCTURES, INC",9928.38477253,35481.38113141,47266.34
"R & A ROOF STRUCTURES",551.6283454,15393.779854313,24308.12
"AFCO STEEL",-0.1,1495.3954086,3179.14
"SCHUFF STEEL MIDWEST DIV.",-0.1,747.6977043,3179.14
"NEW MILLENNIUM- IN",-0.1,4178.3167954,6913.38
"TOMBARI STRUCTURAL PRODUCTS",103.005404222,3310.743967458,6473.81
"BEN HUR STEEL WORX ",-0.1,1341.4606934,3734.24
"LYNDON STEEL CO ",-0.1,7019.9269908,6709.41
"PKM STEEL SERVICE",-0.1,2843.02717686,4099.17
"HME, INC",-0.1,2682.8213868,3927.03
"RIGID GLOBAL BUILDINGS",-0.1,2702.730433725,3765.05
"CENTER-LINE COMPANY",468.795132206,8425.878700083,11660.75
"STEEL ENCOUNTERS, INC",2408.037185568,20431.746793581,26835.57
"JD2, INC.",263.24690966,6468.92260829,6643.01
"HILLSDALE FABRICATORS",-0.1,4337.005604,2794.11
"TRUE NORTH STEEL",-0.1,4419.73845679,2886.31
"GAYLE MANUFACTURING",-0.1,4445.89009789,3029.47
"ROOF STRUCTURES",85.41970375,9002.049866348,13711.8
"DUKE PACIFIC, INC.",1451.04219423,16073.78555854,21715.62
"H.A. FABRICATORS",92.23746443,1868.728133161,3071.3
"THE ARTHUR LOUIS STEEL CO",-0.1,494.4215354,1067.96
"SME STEEL CONTRACTORS",-0.1,2178.727172536,1281.36
"COOPER STEEL - KY",-0.1,2056.980024,1067.47
"COBB INDUSTRIAL",-0.1,992.8654929,1022.65
"COOPER STEEL - TN",-0.1,-0.1,977.48
"DIETRICH IRON WORKS ",-0.1,798.2800953,862.95
"SUBURBAN STEEL, INC.",-0.1,1017.08644574,1105.72
"MARTIN IRON WORKS, INC.",-0.1,579.16359787,1071.43
"JD SALES",11.07,1648.940800545,2103.03
"DIVISION 5 INC",32.54477013,4287.871646407,5070.97
